,id,key,name,untranslatedName,custom,orderable,navigable,searchable,clauseNames,schema
183,customfield_25097,customfield_25097,Project,Project,True,True,True,True,"['Project[AtlassianProject]', 'cf[25097]']","{'type': 'array', 'items': 'Project', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:atlas-project', 'customId': 25097}"
184,workratio,workratio,Work Ratio,,False,False,True,True,['workratio'],"{'type': 'number', 'system': 'workratio'}"
185,customfield_19480,customfield_19480,Manage app URL,Manage app URL,True,True,True,True,"['cf[19480]', 'Manage app URL', 'Manage app URL[Short text]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19480}"
186,customfield_19360,customfield_19360,Start date,Start date,True,True,True,True,"['cf[19360]', 'Start date', 'Start date[Date]']","{'type': 'date', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datepicker', 'customId': 19360}"
187,customfield_20226,customfield_20226,Time to response,Time to response,True,True,True,True,"['cf[20226]', 'Time to response']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20226}"
188,customfield_20105,customfield_20105,Change Status via Emoji (EAN),Change Status via Emoji (EAN),True,True,True,True,"['Change Status via Emoji (EAN)', 'Change Status via Emoji (EAN)[Short text]', 'cf[20105]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 20105}"
189,customfield_20227,customfield_20227,Overall Time to Done,Overall Time to Done,True,True,True,True,"['cf[20227]', 'Overall Time to Done']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20227}"
190,customfield_20224,customfield_20224,Time after Ready for Review,Time after Ready for Review,True,True,True,True,"['Time after Ready for Review', 'cf[20224]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20224}"
191,customfield_20225,customfield_20225,Time after AR Ready for Review,Time after AR Ready for Review,True,True,True,True,"['Time after AR Ready for Review', 'cf[20225]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20225}"
192,customfield_20222,customfield_20222,Time in AR Ready for review,Time in AR Ready for review,True,True,True,True,"['Time in AR Ready for review', 'cf[20222]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20222}"
193,customfield_19475,customfield_19475,Provide the details of your environment,Provide the details of your environment,True,True,True,True,"['cf[19475]', 'Provide the details of your environment[Paragraph]', 'Provide the details of your environment']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 19475}"
194,customfield_20223,customfield_20223,Time in AR Under review,Time in AR Under review,True,True,True,True,"['cf[20223]', 'Time in AR Under review']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20223}"
195,customfield_21432,customfield_21432,JAC Component,JAC Component,True,True,True,True,"['JAC Component[Select List (cascading)]', 'JAC Component', 'cf[21432]']","{'type': 'option-with-child', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect', 'customId': 21432}"
196,customfield_20220,customfield_20220,Time in AR Waiting for Customer,Time in AR Waiting for Customer,True,True,True,True,"['Time in AR Waiting for Customer', 'cf[20220]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20220}"
197,customfield_19477,customfield_19477,DC app not ready for review,DC app not ready for review,True,True,True,True,"['DC app not ready for review', 'cf[19477]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 19477}"
198,customfield_20341,customfield_20341,Time to done,Time to done,True,True,True,True,"['Time to done', 'cf[20341]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20341}"
199,customfield_20221,customfield_20221,Time in AR Waiting for Atlassian,Time in AR Waiting for Atlassian,True,True,True,True,"['Time in AR Waiting for Atlassian', 'cf[20221]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20221}"
200,customfield_19478,customfield_19478,Time to resolution - App Reviews,Time to resolution - App Reviews,True,True,True,True,"['cf[19478]', 'Time to resolution - App Reviews']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 19478}"
201,customfield_19592,customfield_19592,CVSS Severity,CVSS Severity,True,True,True,True,"['cf[19592]', 'CVSS Severity', 'CVSS Severity[Dropdown]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19592}"
202,customfield_19350,customfield_19350,Time to approve normal change,Time to approve normal change,True,True,True,True,"['cf[19350]', 'Time to approve normal change']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 19350}"
203,customfield_19593,customfield_19593,Scanner Vulnerability ID,Scanner Vulnerability ID,True,True,True,True,"['Scanner Vulnerability ID[Short text]', 'cf[19593]', 'Scanner Vulnerability ID']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19593}"
204,customfield_19473,customfield_19473,What happened? Write the steps to reproduce the issue.,What happened? Write the steps to reproduce the issue.,True,True,True,True,"['What happened? Write the steps to reproduce the issue.[Paragraph]', 'cf[19473]', 'What happened? Write the steps to reproduce the issue.']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 19473}"
205,customfield_19474,customfield_19474,What should have happened?,What should have happened?,True,True,True,True,"['What should have happened?', 'What should have happened?[Paragraph]', 'cf[19474]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 19474}"
